date,state,city,address,killed,injured,incident
"April 7, 2016",Illinois,Chicago,2200 block of East 70th Place,0,4,http://www.gunviolencearchive.org/incident/535927
"March 31, 2016",Illinois,Chicago (Englewood),6800 block of South Throop,0,4,http://www.gunviolencearchive.org/incident/532604
"March 25, 2016",Illinois,Chicago,4500 block of West West End Avenue,0,4,http://www.gunviolencearchive.org/incident/528614
"March 25, 2016",Colorado,Denver,8501 E. Alameda Avenue,0,4,http://www.gunviolencearchive.org/incident/529488
"March 21, 2016",Illinois,Chicago,5700 block of West Washington Boulevard,0,4,http://www.gunviolencearchive.org/incident/526380
"March 19, 2016",Florida,Plantation,12050 NW 4th Court,1,4,http://www.gunviolencearchive.org/incident/525464
"March 19, 2016",Alabama,Wetumpka,South Shelby Street,2,2,http://www.gunviolencearchive.org/incident/525301
"March 15, 2016",Georgia,Atlanta,Donald Lee Hollowell Drive,0,5,http://www.gunviolencearchive.org/incident/523044
"March 13, 2016",Florida,Fort Myers,50 South Road,0,4,http://www.gunviolencearchive.org/incident/522122
"March 12, 2016",Oregon,Portland,16126 S.E. Stark St.,0,4,http://www.gunviolencearchive.org/incident/521821
"March 12, 2016",California,Oakland,Interstate 880,0,4,http://www.gunviolencearchive.org/incident/521074
"March 11, 2016",Michigan,Detroit,2600 block of Hazelwood,2,2,http://www.gunviolencearchive.org/incident/520767
"March 11, 2016",New Jersey,Trenton,Oliver Avenue,0,5,http://www.gunviolencearchive.org/incident/520290
"March 9, 2016",Pennsylvania,Pittsburgh,1304 Franklin Ave,5,3,http://www.gunviolencearchive.org/incident/519541
"March 8, 2016",Texas,San Antonio,Sherman St,2,3,http://www.gunviolencearchive.org/incident/518266
"March 7, 2016",Louisiana,Lafayette,800 block of Martin Luther King Jr. Drive,0,4,http://www.gunviolencearchive.org/incident/517895
"March 7, 2016",Kansas,Kansas City,3000 block of South 36th Street,5,0,http://www.gunviolencearchive.org/incident/518436
"March 6, 2016",Massachusetts,Chelsea,120 Washington Avenue,1,6,http://www.gunviolencearchive.org/incident/517058
"March 6, 2016",Georgia,Roswell,890 Atlanta St,0,4,http://www.gunviolencearchive.org/incident/517114
"March 6, 2016",California,Compton,900 block of West Victoria Street,1,8,http://www.gunviolencearchive.org/incident/517073
"March 5, 2016",Kansas,Wichita,116 North Mead,0,4,http://www.gunviolencearchive.org/incident/516758
"March 4, 2016",Ohio,Columbus,900 E 5th Ave,1,3,http://www.gunviolencearchive.org/incident/516341
"February 28, 2016",Michigan,Detroit,8800 block of Livernois,0,5,http://www.gunviolencearchive.org/incident/513549
"February 28, 2016",California,Riverside (Jurupa Valley),5500 block of Etiwanda Avenue,1,3,http://www.gunviolencearchive.org/incident/513640
"February 27, 2016",Virginia,Woodbridge (Lake Ridge),13051 Lashmere Ct,2,2,http://www.gunviolencearchive.org/incident/512880
"February 26, 2016",Washington,Belfair,300 block of Horseshoe Rd.,5,0,http://www.gunviolencearchive.org/incident/512073
"February 25, 2016",Kansas,Hesston,200 S Ridge Rd,4,14,http://www.gunviolencearchive.org/incident/511436
"February 23, 2016",Arizona,Glendale,4812 West Sunnyside Ave,5,0,http://www.gunviolencearchive.org/incident/509897
"February 23, 2016",Florida,Daytona Beach,1042 Sheridan Road,0,4,http://www.gunviolencearchive.org/incident/510769
"February 21, 2016",Missouri,Hazelwood,Interstate Highway 270 and North Lindbergh Boulevard,1,3,http://www.gunviolencearchive.org/incident/508879
"February 21, 2016",Texas,Houston,5100 block of Idaho Street,0,5,http://www.gunviolencearchive.org/incident/509707
"February 20, 2016",Florida,Tampa,2810 E. Bearss Ave,1,3,http://www.gunviolencearchive.org/incident/508341
"February 20, 2016",Michigan,Kalamazoo,5581 Cracker Barrel Blvd,6,2,http://www.gunviolencearchive.org/incident/508640
