date,killed,injured,victims,state,city,address,incident,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2017-06-06,3,2,5,Utah,Sandy,2232 Alta Canyon Drive,http://www.gunviolencearchive.org/incident/861307,"40.5941, -111.826",Congressional District: 3,NA,NA,NA,NA
2017-06-05,6,0,6,Florida,Orlando,2427 Forsyth Rd,http://www.gunviolencearchive.org/incident/859875,"28.5799, -81.2934",Congressional District: 7,NA,NA,handgun,NA
2017-06-03,2,2,4,Missouri,Saint Louis,1600 Block of Union Blvd,http://www.gunviolencearchive.org/incident/858810,"38.6665, -90.2672",Congressional District: 1,NA,NA,NA,NA
2017-06-03,3,2,5,Louisiana,New Orleans,3717 Tulane Ave,http://www.gunviolencearchive.org/incident/858719,"29.9673, -90.1016",Congressional District: 2,NA,NA,NA,NA
2017-06-02,2,3,5,Texas,Laredo,5301 McPherson Rd,http://www.gunviolencearchive.org/incident/858378,"27.5454, -99.4821",Congressional District: 28,NA,NA,NA,NA
2017-06-02,1,3,4,California,Los Angeles,89th St and Broadway,http://www.gunviolencearchive.org/incident/858877,"33.9555, -118.278",Congressional District: 43,NA,NA,NA,NA
2017-06-01,3,1,4,Missouri,Saint Louis,Beacon Ave and Lillian Ave,http://www.gunviolencearchive.org/incident/857443,"38.6943, -90.2523",Congressional District: 1,NA,NA,NA,NA
2017-05-30,1,3,4,Ohio,Middletown,1200 Elliott Dr,http://www.gunviolencearchive.org/incident/855764,"39.5003, -84.3512",Congressional District: 8,NA,NA,NA,NA
2017-05-29,1,3,4,Kentucky,Louisville,231 Witherspoon St,http://www.gunviolencearchive.org/incident/855113,"38.2576, -85.7504",Congressional District: 3,NA,NA,NA,NA
2017-05-28,0,12,12,Alabama,Phenix City,100 block of 6th Street South,http://www.gunviolencearchive.org/incident/853901,"32.4359, -84.9952",Congressional District: 3,NA,NA,NA,NA
2017-05-28,1,5,6,New Jersey,Paterson,86 Main Street,http://www.gunviolencearchive.org/incident/853796,"40.9143, -74.1667",Congressional District: 9,NA,NA,NA,NA
2017-05-28,0,5,5,Mississippi,Moss Point,6103 Hwy. 63,http://www.gunviolencearchive.org/incident/853920,"30.4348, -88.5388",Congressional District: 4,NA,NA,NA,NA
2017-05-27,0,4,4,New York,New York (Manhattan),318 W 14th St,http://www.gunviolencearchive.org/incident/853032,"40.7399, -74.0037",Congressional District: 10,NA,NA,NA,9mm
2017-05-27,1,7,8,District of Columbia,Washington,100 block of Q Street Northwest,http://www.gunviolencearchive.org/incident/853119,"38.9111, -77.0122",Congressional District: 1,NA,NA,NA,NA
2017-05-27,8,1,9,Mississippi,Bogue Chitto,2871 Lee Drive,http://www.gunviolencearchive.org/incident/853756,"31.4109, -90.4609",Congressional District: 3,NA,NA,NA,NA
