date,state,city,killed,injured,incident,victims,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2013-08-20,Maryland,Baltimore,2,2,http://www.gunviolencearchive.org/incident/491992,4,"39.2806, -76.6354",Congressional District: 3,NA,NA,NA,9mm
2013-08-19,Illinois,Chicago,1,4,http://www.gunviolencearchive.org/incident/491965,5,"41.9653, -87.6557",Congressional District: 9,NA,AK-47,NA,NA
2013-08-18,New Jersey,Port Norris,0,4,http://www.gunviolencearchive.org/incident/491948,4,"39.2649, -75.024",Congressional District: 2,NA,NA,NA,NA
2013-08-18,Ohio,Toledo,0,4,http://www.gunviolencearchive.org/incident/491937,4,"41.6651, -83.5591",Congressional District: 9,NA,NA,NA,NA
2013-08-18,South Carolina,Chesterfield,1,4,http://www.gunviolencearchive.org/incident/491898,5,"34.7104, -80.1421",Congressional District: 7,NA,NA,NA,NA
2013-08-18,Illinois,Chicago,1,3,http://www.gunviolencearchive.org/incident/491840,4,"41.8798, -87.7232",Congressional District: 7,NA,NA,NA,NA
2013-08-17,California,San Francisco,0,4,http://www.gunviolencearchive.org/incident/491819,4,"37.7767, -122.419",Congressional District: 12,NA,NA,NA,NA
2013-08-14,Oklahoma,Oklahoma City,4,0,http://www.gunviolencearchive.org/incident/492001,4,"35.3867, -97.4356",Congressional District: 5,NA,NA,NA,380 Auto
2013-08-13,Pennsylvania,Philadelphia,0,4,http://www.gunviolencearchive.org/incident/491770,4,"39.9439, -75.2195",Congressional District: 2,NA,NA,NA,NA
2013-08-11,Virginia,Portsmouth,1,4,http://www.gunviolencearchive.org/incident/491749,5,"36.8364, -76.3361",Congressional District: 3,NA,NA,NA,NA
2013-08-11,New York,Brooklyn,0,4,http://www.gunviolencearchive.org/incident/491710,4,"40.6524, -73.9321",Congressional District: 9,NA,NA,NA,NA
2013-08-10,Delaware,Wilmington,0,4,http://www.gunviolencearchive.org/incident/491729,4,"39.7435, -75.5641",Congressional District: 1,NA,NA,NA,NA
2013-08-09,Missouri,Saint Louis,2,2,http://www.gunviolencearchive.org/incident/491734,4,"38.6706, -90.228",Congressional District: 1,NA,NA,NA,NA
2013-08-07,Texas,Dallas,4,4,http://www.gunviolencearchive.org/incident/491698,8,"32.6412, -96.9481",Congressional District: 30,NA,NA,NA,NA
2013-08-06,New Jersey,Montclair,0,4,http://www.gunviolencearchive.org/incident/491630,4,"40.8057, -74.2128",Congressional District: 10,NA,NA,NA,NA
2013-08-06,Pennsylvania,Saylorsburg,3,4,http://www.gunviolencearchive.org/incident/491609,7,"40.8959, -75.323",Congressional District: 17,NA,AR-15,NA,44 Mag
2013-08-04,Missouri,Kansas City,1,3,http://www.gunviolencearchive.org/incident/491546,4,"39.083, -94.5557",Congressional District: 5,NA,NA,NA,NA
2013-08-04,California,Salinas,3,4,http://www.gunviolencearchive.org/incident/491473,7,"36.6799, -121.606",Congressional District: 20,NA,NA,NA,45 Auto
2013-08-03,Michigan,Detroit,0,5,http://www.gunviolencearchive.org/incident/491461,5,"42.423, -83.2082",Congressional District: 13,NA,NA,NA,NA
