date,state,city,killed,injured,incident,victims
2013-05-25,Virginia,Hampton,1,4,http://www.gunviolencearchive.org/incident/486998,5
2013-05-25,Michigan,Flint,1,3,http://www.gunviolencearchive.org/incident/486977,4
2013-05-24,California,Bakersfield,2,2,http://www.gunviolencearchive.org/incident/486971,4
2013-05-23,Tennessee,Bean Station,2,2,http://www.gunviolencearchive.org/incident/486623,4
2013-05-20,Illinois,Chicago,0,4,http://www.gunviolencearchive.org/incident/486617,4
2013-05-19,Michigan,Detroit,0,4,http://www.gunviolencearchive.org/incident/486605,4
2013-05-19,Tennessee,Memphis,2,2,http://www.gunviolencearchive.org/incident/486586,4
2013-05-18,Virginia,Victoria,0,4,http://www.gunviolencearchive.org/incident/486611,4
2013-05-16,Pennsylvania,Philadelphia,0,4,http://www.gunviolencearchive.org/incident/486334,4
2013-05-15,Michigan,Detroit,1,4,http://www.gunviolencearchive.org/incident/486327,5
2013-05-13,Ohio,Cincinnati,0,4,http://www.gunviolencearchive.org/incident/486316,4
2013-05-12,Louisiana,New Orleans,0,19,http://www.gunviolencearchive.org/incident/486209,19
2013-05-12,Arizona,Apache Junction,0,5,http://www.gunviolencearchive.org/incident/486153,5
2013-05-11,Indiana,Columbus,5,0,http://www.gunviolencearchive.org/incident/486142,5
2013-05-11,New Jersey,Jersey City,0,4,http://www.gunviolencearchive.org/incident/486244,4
2013-05-11,Pennsylvania,Philadelphia,0,4,http://www.gunviolencearchive.org/incident/486121,4
2013-05-10,California,Los Angeles,3,1,http://www.gunviolencearchive.org/incident/486109,4
2013-05-06,Pennsylvania,Johnstown,0,4,http://www.gunviolencearchive.org/incident/486068,4
2013-05-05,California,Palo Alto,0,5,http://www.gunviolencearchive.org/incident/486056,5
2013-05-04,North Carolina,Smithfield,0,4,http://www.gunviolencearchive.org/incident/486027,4
2013-05-02,New Jersey,Newark,0,5,http://www.gunviolencearchive.org/incident/486005,5
2013-04-28,Tennessee,Jackson,2,2,http://www.gunviolencearchive.org/incident/485979,4
